hazard_density,hazard_density_seed,episode,episode_variant,controller,scenario_id,scenario_name,mode,frame_id,step,row,col,event_type,event_value
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,198,26,7,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,199,25,8,shield_intervention,lookahead_safer
high,25914,1690,18,ppo_shield,stress_density,Stress Density,mono,0040,3,4,4,shield_intervention,lookahead_safer
high,25914,1690,18,ppo_shield,stress_density,Stress Density,mono,0040,15,16,14,shield_intervention,lookahead_safer
high,25914,1690,18,ppo_shield,stress_density,Stress Density,mono,0040,16,17,13,shield_intervention,lookahead_safer
high,25914,1690,18,ppo_shield,stress_density,Stress Density,mono,0040,18,19,13,shield_intervention,lookahead_safer
high,25914,1690,18,ppo_shield,stress_density,Stress Density,mono,0040,19,20,12,shield_intervention,lookahead_safer
high,25914,1690,18,ppo_shield,stress_density,Stress Density,mono,0040,21,22,12,shield_intervention,lookahead_safer
high,25914,1690,18,ppo_shield,stress_density,Stress Density,mono,0040,23,24,12,shield_intervention,lookahead_safer
high,25914,1690,18,ppo_shield,stress_density,Stress Density,mono,0040,24,25,11,shield_intervention,lookahead_safer
high,25914,1690,18,ppo_shield,stress_density,Stress Density,mono,0040,26,27,11,shield_intervention,lookahead_safer
high,25914,1690,18,ppo_shield,stress_density,Stress Density,mono,0040,27,28,10,shield_intervention,negative_progress
high,25914,1690,18,ppo_shield,stress_density,Stress Density,mono,0040,28,29,9,shield_intervention,negative_progress
high,23230,1691,19,ppo_shield,baseline_open,Baseline Open,stereo,0020,14,15,15,shield_intervention,obstacle_risk
high,23230,1691,19,ppo_shield,baseline_open,Baseline Open,stereo,0020,15,16,15,shield_intervention,obstacle_risk
high,23230,1691,19,ppo_shield,baseline_open,Baseline Open,stereo,0020,16,17,14,shield_intervention,obstacle_risk
high,23230,1691,19,ppo_shield,baseline_open,Baseline Open,stereo,0020,23,24,19,shield_intervention,obstacle_risk
high,23230,1691,19,ppo_shield,baseline_open,Baseline Open,stereo,0020,28,29,22,shield_intervention,obstacle_risk
high,23230,1691,19,ppo_shield,baseline_open,Baseline Open,stereo,0020,33,33,27,shield_intervention,obstacle_risk
high,23230,1691,19,ppo_shield,baseline_open,Baseline Open,stereo,0020,35,33,29,shield_intervention,obstacle_risk
high,23230,1691,19,ppo_shield,baseline_open,Baseline Open,stereo,0020,37,34,31,shield_intervention,obstacle_risk
high,23230,1691,19,ppo_shield,baseline_open,Baseline Open,stereo,0020,38,34,32,shield_intervention,obstacle_risk
high,23230,1691,19,ppo_shield,baseline_open,Baseline Open,stereo,0020,39,34,33,shield_intervention,obstacle_risk
high,23230,1691,19,ppo_shield,baseline_open,Baseline Open,stereo,0020,40,33,34,shield_intervention,obstacle_risk
high,23230,1691,19,ppo_shield,baseline_open,Baseline Open,stereo,0020,45,36,38,shield_intervention,obstacle_risk
high,23230,1691,19,ppo_shield,baseline_open,Baseline Open,stereo,0020,46,35,39,shield_intervention,lookahead_safer
high,23230,1691,19,ppo_shield,baseline_open,Baseline Open,stereo,0020,47,35,40,shield_intervention,lookahead_safer
high,23230,1691,19,ppo_shield,baseline_open,Baseline Open,stereo,0020,48,34,41,shield_intervention,obstacle_risk
high,23230,1691,19,ppo_shield,baseline_open,Baseline Open,stereo,0020,50,35,43,shield_intervention,obstacle_risk
high,23230,1691,19,ppo_shield,baseline_open,Baseline Open,stereo,0020,51,35,44,shield_intervention,obstacle_risk
high,23230,1691,19,ppo_shield,baseline_open,Baseline Open,stereo,0020,55,39,46,shield_intervention,negative_progress
high,23230,1691,19,ppo_shield,baseline_open,Baseline Open,stereo,0020,56,39,45,shield_intervention,negative_progress
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,13,13,15,shield_intervention,lookahead_safer
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,15,14,17,shield_intervention,lookahead_safer
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,33,32,34,shield_intervention,lookahead_safer
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,34,33,34,shield_intervention,lookahead_safer
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,35,34,34,shield_intervention,lookahead_safer
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,36,35,34,shield_intervention,lookahead_safer
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,37,36,34,shield_intervention,lookahead_safer
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,41,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,42,38,35,shield_intervention,loop_prevention
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,43,38,36,shield_intervention,lookahead_safer
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,45,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,47,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,48,37,35,shield_intervention,loop_prevention
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,51,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,52,38,35,shield_intervention,loop_prevention
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,53,38,36,shield_intervention,lookahead_safer
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,55,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,57,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,58,37,35,shield_intervention,loop_prevention
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,61,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,62,38,35,shield_intervention,loop_prevention
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,63,38,36,shield_intervention,lookahead_safer
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,65,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,67,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,68,37,35,shield_intervention,loop_prevention
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,71,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,72,38,35,shield_intervention,loop_prevention
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,73,38,36,shield_intervention,lookahead_safer
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,75,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,77,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,78,37,35,shield_intervention,loop_prevention
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,81,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,82,38,35,shield_intervention,loop_prevention
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,83,38,36,shield_intervention,lookahead_safer
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,85,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,87,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,88,37,35,shield_intervention,loop_prevention
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,91,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,92,38,35,shield_intervention,loop_prevention
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,93,38,36,shield_intervention,lookahead_safer
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,95,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,97,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,98,37,35,shield_intervention,loop_prevention
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,101,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,102,38,35,shield_intervention,loop_prevention
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,103,38,36,shield_intervention,lookahead_safer
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,105,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,107,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,108,37,35,shield_intervention,loop_prevention
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,111,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,112,38,35,shield_intervention,loop_prevention
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,113,38,36,shield_intervention,lookahead_safer
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,115,38,36,shield_intervention,obstacle_risk
