run_id,episode,reward,steps,success,navigation_efficiency,goal_distance,grid_size,max_episode_steps,timestamp_utc
2026-04-03_15-35-09,865,-105.58691562896622,200,0,0.014395109419717729,66.46803743153546,50,200,2026-04-03T21:07:40.081168
2026-04-03_15-35-09,866,-104.04135162993234,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T21:07:42.842635
2026-04-03_15-35-09,867,-99.95439568126683,200,0,0.015002553017897154,63.655321851358195,50,200,2026-04-03T21:07:45.232410
2026-04-03_15-35-09,868,-102.51046775452474,200,0,0.014690933476920654,65.06919393998976,50,200,2026-04-03T21:07:48.504950
2026-04-03_15-35-09,869,-1049.8625541217402,1,0,0.015136877362419606,65.05382386916237,50,200,2026-04-03T21:07:50.187001
2026-04-03_15-35-09,870,-104.19494221408094,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T21:07:52.947189
2026-04-03_15-35-09,871,-101.42976521267911,200,0,0.014840830370231983,64.38167441127949,50,200,2026-04-03T21:07:55.545051
2026-04-03_15-35-09,872,-96.95703411495953,200,0,0.015327675363100063,62.24146527838174,50,200,2026-04-03T21:07:59.191057
2026-04-03_15-35-09,873,-101.45663328719775,200,0,0.014840830370231983,64.38167441127949,50,200,2026-04-03T21:08:01.621194
2026-04-03_15-35-09,874,-102.85146674003977,200,0,0.014690933476920654,65.06919393998976,50,200,2026-04-03T21:08:04.154638
2026-04-03_15-35-09,875,-85.37080203185248,200,0,0.016579645764233333,57.3149195236284,50,200,2026-04-03T21:08:09.214331
2026-04-03_15-35-09,876,-313.52783482675306,200,0,0.014395109419717729,66.46803743153546,50,200,2026-04-03T21:08:11.607956
2026-04-03_15-35-09,877,-103.864466069242,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T21:08:14.410743
2026-04-03_15-35-09,878,-101.08650880221799,200,0,0.014847677195736854,64.35060217278468,50,200,2026-04-03T21:08:17.263890
2026-04-03_15-35-09,879,-105.63406544705725,200,0,0.014395109419717729,66.46803743153546,50,200,2026-04-03T21:08:19.817068
2026-04-03_15-35-09,880,-98.17931172872001,200,0,0.015144232602744119,63.0317380372777,50,200,2026-04-03T21:08:23.464862
2026-04-03_15-35-09,881,-150.5902451218057,200,0,0.014395109419717729,66.46803743153546,50,200,2026-04-03T21:09:15.450269
